LATITUDE,LONGITUDE,location_x
41.111452,-81.9649666,"7654, Spencer Lake Road, Lafayette Township, Chatham Township, Medina County, Ohio, 44256, United States"
41.3668169,-83.6597461,"58, Valleyview Drive, Bowling Green, Wood County, Ohio, 43402, United States"
39.085438,-84.284852,"Ivy Pointe Senior Apartments, Clough Pike, Hill Craft Acres, Union Township, Clermont County, Ohio, 45245, United States"
40.0807762,-83.0261383,"279, Frontenac Place, Riverlea, Sharon Township, Franklin County, Ohio, 43085, United States"
41.720257,-83.5995637,"5714, Winona Drive, Ferndale, Toledo, Lucas County, Ohio, 43613, United States"
40.0157174,-82.7750301,"Narrow Leaf Drive, Jefferson Township, Franklin County, Ohio, 43073, United States"
39.3134275,-84.4961009,"Wedgewood Drive, Stockton Station, Fairfield, Butler County, Ohio, 45014, United States"
41.7798169,-81.0526306,"779, Coralberry Lane, Madison, Lake County, Ohio, 44057, United States"
40.8625113,-80.8328104,"Kent State University Salem, Salmar Drive, Columbiana County, Ohio, 44460, United States"
39.0893014,-84.3955135,"5941, Wayside Avenue, Cincinnati, Anderson Township, Hamilton County, Ohio, 45230, United States"
39.3844293,-84.2952496,"4427, Millbrook Lane, Windemere, Mason, Warren County, Ohio, 45040, United States"
40.7968394,-82.7457345,"1087, Clink Boulevard, Crestline, Crawford County, Ohio, 44827, United States"
40.2767504,-83.4678144,"19251, Bear Swamp Road, Raymond, Allen Township, Union County, Ohio, 43040, United States"
41.1301049,-81.5519939,"Parkway Jogging Trail, Merriman Valley, Akron, Summit County, Ohio, 44313, United States"
39.1715691,-84.6000695,"3332, Diehl Road, Green Township, Hamilton County, Ohio, 45211, United States"
39.8090594,-84.0411508,"441, Johnston Drive, Bath Township, Greene County, Ohio, 45433, United States"
39.9974082,-81.7401783,"164, Montgomery Boulevard, Muskingum College Campus Historic District, New Concord, Muskingum County, Ohio, 43762, United States"
39.9278174,-84.3364029,"7383, Jay Road, West Milton, Miami County, Ohio, 45383, United States"
40.0465117,-83.0908674,"4536, Langport Road, Upper Arlington, Franklin County, Ohio, 43220, United States"
39.1905674,-84.6337896,"5385, Haft Road, Green Township, Hamilton County, Ohio, 45247, United States"
41.3362993,-80.5215098,"8247, High Street, Orangeville, Trumbull County, Ohio, 44404, United States"
40.0993741,-83.0592433,"2749, McVey Boulevard West, Columbus, Perry Township, Franklin County, Ohio, 43235, United States"
41.1286993,-81.5155927,"1624, 26th Street, Cuyahoga Falls, Summit County, Ohio, 44223, United States"
41.4359479,-81.8695364,"22524, Doris Avenue, Fairview Park, Cuyahoga County, Ohio, 44126, United States"
41.0559516,-80.6685196,"130, Overhill Road, Newport Village, Boardman, Mahoning County, Ohio, 44512, United States"
41.4872247,-81.8434611,"20042, Frazier Drive, Beach Cliff, Rocky River, Cuyahoga County, Ohio, 44116, United States"
40.2466139,-81.0631371,"40300, Cadiz-Piedmont Road, Moorefield, Harrison County, Ohio, 43907, United States"
40.018747,-83.1346813,"4576, Earman Drive, Hilliard, Norwich Township, Franklin County, Ohio, 43026, United States"
39.9341697,-82.8052855,"Blacklick Woods Nature Center, 6975, Blacklick Creek Greenway Trail, Rose Hill Heights, Reynoldsburg, Truro Township, Franklin County, Ohio, 43068, United States"
41.3799915,-81.6725262,"2112, Mapleview Drive, Seven Hills, Cuyahoga County, Ohio, 44131, United States"
41.8133278,-80.6523285,"Hines Road, Sheffield Township, Ashtabula County, Ohio, 44048, United States"
39.2281876,-84.2418947,"6358, Roth Ridge Drive, Paxton Bend, Miami Township, Clermont County, Ohio, 45140, United States"
40.7960857,-81.4342614,"117, Miles Avenue Northwest, Grove Mill, Stark County, Ohio, 44708, United States"
41.2359474,-81.8156859,"Susan Hambley Nature Center, 1473, Parschen Boulevard, Brunswick, Medina County, Ohio, 44212, United States"
41.0514984,-80.6908646,"4710, Lockwood Boulevard, Truesdale, Boardman, Mahoning County, Ohio, 44511, United States"
40.2056892,-82.9143333,"3710, Rome Corners Road, Genoa Township, Delaware County, Ohio, 43021, United States"
40.7620416,-80.5586409,"9521, Jackson Street, Pancake, Columbiana County, Ohio, 44455, United States"
41.0288647,-81.9367667,"6879, Grant Drive, Westfield Center, Medina County, Ohio, 44251, United States"
39.9421239,-83.81453,"1442, North Lowry Avenue, Springfield, Clark County, Ohio, 45504, United States"
41.1105042,-81.6692963,"4380, Conestoga Trail, Pigeon Creek, Copley Township, Summit County, Ohio, 44321, United States"
40.0818318,-83.0142539,"5860, Granby Street, Old Worthington, Worthington, Sharon Township, Franklin County, Ohio, 43085, United States"
39.6589419,-84.2403719,"326, Hillhaven Drive, West Carrollton, Montgomery County, Ohio, 45449, United States"
41.4704189,-80.5698681,"9083, State Route 7, Williamsfield, Kinsman Township, Williamsfield Township, Trumbull County, Ohio, 44428, United States"
41.0491234,-83.6102684,"712, Sutton Place, Fox Run Professional & Office Center, Findlay, Hancock County, Ohio, 45840, United States"
41.431722,-81.3013411,"1734, Bell Road, South Russell, Geauga County, Ohio, 44022, United States"
40.022916,-84.6606212,"3674, North Drive, Wayne Lakes Park, Wayne Lakes, Darke County, Ohio, 45331, United States"
